pareçiere	pareciere
su	su
contenido	contenido
y	y
al	al
mismo	mismo
tpo	tiempo
le	le
decia	decía
qe	que
aunqe	aunque
la	la
justa	justicia
de	de
lebrija	lebrija
se	se
escusara	excusara
con	con
los	los
francs	franceses
esto	esto
era	era
vano	vano
ps	pues
mejor	mejor
causa	causa
tenian	tenían
cuando	cuando
el	el
pleyto	pleito
pendte	pendiente
y	y
fue	fue
decretado	decretado
se	se
le	le
embargan	embargan
al	al
alcalde	alcalde
si	si
no	no
pagaba	pagaba
qe	que
lo	lo
avisara	avisará
cuantto	cuanto
le	le
permitiere	permitiere
su	su
zelo	celo
valiendose	valiéndose
de	de
buen	buen
abogadono	abogadono
puedo	puedo
ponderarle	ponderarle
lo	lo
sencible	sensible
qe	que
me	me
ha	ha
sido	sido
las	las
nota	noticia
de	de
la	la
agregacn	agregación
de	de
rentas	rentas
o	o
bienes	bienes
enagenados	enajenados
pues	pues
nos	nos
veremos	veremos
precisados	precisados
a	a
meternos	meternos
en	en
nuevas	nuevas
solicitudes	solicitudes
estoy	estoy
tan	tan
llena	llena
de	de
trabajos	trabajos
qe	que
no	no
puedo	puedo
mas	más
en	en
md	madrid
todo	todo
me	me
lo	lo
secuestraron	secuestraron
no	no
dejandome	dejándome
ni	ni
clavos	clavos
aqui	aquí
han	han
sido	sido
y	y
son	son
tantas	tantas
y	y
tan	tan
grandes	grandes
las	las
contribuciones	contribuciones
qe	que
me	me
tienen	tienen
ahogada	ahogada
y	y
son	son
muchos	muchos
los	los
empeños	empeños
qe	que
he	he
contrahido	contraído
pa	para
el	el
pago	pago
de	de
ellas	ellas
y	y
viendome	viéndome
en	en
compromisos	compromisos
a	a
cada	cada
instante	instante
determino	determino
pretender	pretender
licencia	licencia
del	del
consejo	consejo
de	de
estado	estado
u	o
de	de
la	la
rega	regencia
para	para
vender	vender
algunas	algunas
fincas	fincas
del	del
mayorazgo	mayorazgo
y	y
dar	dar
salida	salida
a	a
los	los
dhos	dichos
empeños	empeños
para	para
qe	que
quede	quede
con	con
honor	honor
la	la
casa	casa
cuando	cuando
llegue	llegué
a	a
esta	ésta
me	me
encontre	encontré
con	con
estos	estos
bienes	bienes
secuestrados	secuestrados
y	y
sin	sin
medio	medio
para	para
subsistir	subsistir
esta	esta
consideracion	consideración
con	con
tener	tener
qe	que
pagar	pagar
contribuciones	contribuciones
atrasadas	atrasadas
son	son
la	la
causa	causa
de	de
todopor	todopor
lo	lo
qe	que
he	he
pensado	pensado
escribir	escribir
ai	ahí
para	para
ver	ver
si	si
podra	podrá
u	usted
entablar	entablar
la	la
solicitud	solicitud
con	con
el	el
fin	fin
unico	único
de	de
pagar	pagar
contribuciones	contribuciones
y	y
empeños	empeños
contra	contra
todos	todos
y	y
asi	así
espero	espero
me	me
conteste	conteste
a	a
la	la
mayor	mayor
brevedad	brevedad
para	para
mi	mi
goviernono	gobiernono
omita	omita
el	el
escribir	escribir
todo	todo
qto	cuanto
ocurra	ocurra
interin	ínterin
ruego	ruego
a	a
dios	dios
gue	guarde
su	su
vida	vida
ms	muchos
asla	añosla
condesa	condesa
viuda	viuda
de	de
torrepilarespd	torrepilarespd
tengo	tengo
oydo	oído
qe	que
havian	habían
dado	dado
livertad	libertad
a	a
los	los
mayorazgos	mayorazgos
pa	para
vender	vender
u	usted
me	me
dira	dirá
sra	señora
viuda	viuda
de	de
dn	don
juan	juan
bautista	bautista
fabianitoledo	fabiani
18	toledo
de	18
abl	de
de	abril
1802	de
muy	1802muy
sra	señora
nrame	nuestra
alegrare	me
qe	alegraré
vmd	que
se	vm
mantenga	se
con	mantenga
salud	con
la	salud
qe	la
yo	que
disfruto	yo
la	disfruto
ofrezco	la
a	ofrezco
su	a
disposicionesta	su
solo	disposiciónésta
se	sólo
dirige	se
hacerla	dirige
a	hacerla
vmd	a
saver	vm
como	saber
tengo	como
dada	tengo
orden	dada
al	orden
sor	al
dn	señor
domingo	don
e	domingo
giofratelli	y
de	giofratelli
genova	de
para	génova
que	para
dirija	que
a	dirija
vmd	a
una	vm
pequeña	una
balla	pequeña
de	bala
libros	de
corientes	libros
y	corrientes
una	y
caja	una
de	caja
estampitas	de
las	estampitas
mas	—las
de	más
santos	de
que	santos
no	que
tienen	no
derechos	tienen
con	derechos—
la	con
marca	la
g	marca
h	g
no	h
1458	número
y	1458
estimare	y
que	estimaré
vmd	que
acete	vm
este	acepte
encargo	este
y	encargo
me	y
lo	me
remitan	lo
con	remitan
la	con
mayor	la
vrevedad	mayor
buscando	brevedad
el	buscando
mejor	el
modo	mejor
para	modo
que	para
hagan	que
menos	hagan
costas	menos
si	costas
por	si
casualidad	por
fuese	casualidad
poca	fuese
carga	poca
y	carga
viniesen	y
con	viniesen
otros	con
portes	otros
qe	portes
fuesen	que
a	fuesen
madrid	a
lo	madrid
pueden	lo
dejar	pueden
en	dejar
aranjuez	en
ó	aranjuez
postas	o
de	postas
baldemoro	de
siempre	valdemoro
qe	siempre
me	que
salga	me
la	salga
buena	la
quedandome	buena
aviso	quedándome
de	aviso
todoy	de
vmd	todoy
me	vm
embiara	me
la	enviará
quenta	la
de	cuenta
los	de
desemborsos	los
y	desembolsos
su	y
comision	su
qe	comisión
si	que
no	si
me	no
mandase	me
letra	mandase
para	letra
aqui	para
se	aquí
mandara	se
pa	mandará
madrid	para
qe	madrid
habra	que
mejor	habrá
proporcion	mejor
si	proporción
es	si
caso	es
qe	caso
le	que
hacomoda	le
asi	acomoda
siempre	así
tirando	siempre
ha	tirando
que	hay
subir	que
poco	subir
las	poco
costas	las
qe	costas
los	que
tiempos	los
estan	tiempos
malos	están
la	malos
guerra	la
qe	guerra
hemos	que
tenido	hemos
lo	tenido
tiene	lo
todo	tiene
destruydo	todo
y	destruidoy
siendo	siendo
qto	cuanto
ocure	ocurre
decir	decir
a	a
vmd	vm
mande	mande
a	a
este	este
su	su
servidor	servidor
q	que
s	su
m	mano
bjacinto	besajacinto
hernandezpd	hernandezpd
si	si
ubiese	hubiese
necesidad	necesidad
de	de
copia	copia
de	de
lista	lista
pa	para
la	la
rebision	revisión
la	la
mandare	mandaré
con	con
su	su
aviso	aviso
lisboa	lisboa
y	y
15	15
de	de
maio	mayo
1815	1815querido
querido	amigo
amigo	manuel
manel	nabásquez
nabasquesdeseo	deseo
tu	tu
buena	buena
salu	salud
con	con
la	la
de	de
tu	tu
querida	querida
esposa	esposa
y	y
tus	tus
amados	amados
yjosla	hijosla
mia	mía
es	es
buena	buena
a	a
dios	dios
las	las
gracias	gracias
para	para
lo	lo
que	que
me	me
gustes	gustes
mandarseñor	mandarseñor
manuel	manuel
nabasques	nabásquez
esta	ésta
solo	sólo
se	se
dirije	dirige
a	a
participarte	participarte
amo	amigo
lo	lo
sigiente	siguiente
acordandome	acordándome
de	de
ti	ti
y	y
que	que
tu	tú
eres	eres
onbre	hombre
capas	capaz
de	de
aser	hacer
lo	lo
que	que
otro	otro
qalquiel	cualquier
ombre	hombre
de	de
esa	esa
tierra	tierra
y	y
para	para
que	que
bea	vea
uste	usted
que	que
io	yo
ago	hago
sastifacion	satisfacción
de	de
ti	ti
te	te
digo	digo
lo	lo
sigiente	siguiente
que	que
al	al
dador	dador
de	de
esa	ésa
lo	lo
mires	mires
como	como
que	que
es	es
amigo	amigo
mio	mío
y	y
que	que
a	ha
estado	estado
conmigo	conmigo
y	y
es	es
de	de
mi	mi
sastifacion	satisfacción
aunque	aunque
el	él
no	no
te	te
hira	irá
a	a
encomudar	incomodar
mas	más
bien	bien
tal	tal
bes	vez
sera	será
para	para
tu	tu
bien	bien
si	si
tu	tú
susistes	subsistes
con	con
el	el
ynterios	interior
que	que
tenias	tenías
quando	cuando
yo	yo
estaba	estaba
en	en
esa	ésa
de	de
billafranca	villafranca
mas	mas
con	con
el	el
contar	contar
que	que
no	no
eres	eres
menester	menester
mas	más
que	que
tu	tú
agas	hagas
lo	lo
que	que
el	el
dador	dador
de	de
esta	ésta
te	te
diga	diga
llebandolo	llevándolo
tu	tú
a	a
los	los
pueblos	pueblos
y	y
me	me
d	de
utos	autos
del	del
nuestro	nuestro
podras	podrás
acomodarte	acomodarte
mui	muy
bien	bien
de	de
todo	todo
lo	lo
que	que
sea	sea
posible	posible
mas	mas
lo	lo
llebaras	llevarás
a	a
safra	zafra
que	que
tiene	tiene
deseo	deseo
de	de
bel	ver
esa	esa
tierra	tierra
en	en
la	la
que	que
tu	tú
puedes	puedes
d	de
ir	ir
con	con
el	él
a	a
comer	comer
dil	dil
y	y
ganaras	ganarás
mas	más
con	con
el	el
dicho	dicho
sujeto	sujeto
que	que
en	en
el	el
destajo	destajo
almendralejo	almendralejo
ribera	ribera
en	en
fin	fin
abla	habla
tu	tú
con	con
el	el
dador	dador
de	de
esa	ésa
que	que
tal	tal
bes	vez
sea	sea
la	la
felicida	felicidad
y	y
tal	tal
bes	vez
podras	podrás
venir	venir
a	a
verme	verme
a	a
esta	ésta
si	si
tu	tú
quieres	quieres
con	con
el	el
dador	dador
ya	ya
echo	hecho
onbre	hombre
de	de
casa	casa
i	y
bida	vida
y	y
quidas	quizás
yo	yo
me	me
podre	podré
d	de
ir	ir
con	con
bosotros	vosotros
si	si
mi	mi
suerte	suerte
es	es
buena	buena
da	da
mil	mil
espresiones	expresiones
a	a
todos	todos
los	los
que	que
tu	tú
sabes	sabes
que	que
eran	eran
de	de
mi	mi
agardo	agrado
y	y
aquellas	aquellas
personas	personas
que	que
tu	tú
sabes	sabes
y	y
en	en
particular	particular
a	a
tu	tu
ermano	hermano
mateo	mateo
y	y
a	a
manuel	manuel
para	parra
y	y
a	a
todas	todas
su	sus
familias	familias
y	y
a	a
todas	todas
las	las
putas	putas
que	que
ai	hay
en	en
todo	todo
ese	ese
guo	guo
y	y
tu	tú
con	con
tu	tu
espozaresibe	esposarecibe
el	el
corason	corazón
de	de
este	este
tu	tu
mas	más
amigodomingo	amigodomingo
cortes	cortés
toro	toro
18	18
de	de
febrero	febrero
de	de
1816	1816señor
sr	don
dn	juan
juan	de
de	matamuy
matamuy	señor
sr	mío
mioremito	remito
a	a
ud	usted
copia	copia
autorizada	autorizada
del	del
arrendamiento	arrendamiento
que	que
hemos	hemos
tratado	tratado
y	y
combenido	convenido
entre	entre
ambos	ambos
de	de
la	la
casa	casa
qe	que
me	me
pertenece	pertenece
en	en
esa	esa
villa	villa
para	para
su	su
devida	debida
seguridad	seguridad
y	y
resguardoqueda	resguardoqueda
de	de
ud	usted
su	su
afto	afecto
amo	amigo
q	que
s	sus
m	manos
bysidro	besaisidro
manl	manuel
bravo	bravo
a	a
juan	juan
mezger	mezger
en	en
valladolidhayde	valladolid
24	haida
de	24
mayo	de
de	mayo
1809	de
estimado	1809estimado
juanacabo	juan
de	acabo
recibir	de
tu	recibir
favorecida	tu
de	favorecida
20	de
del	20
mes	del
pmo	mes
pdo	próximo
que	pasado
me	que
has	me
dirigido	has
por	dirigido
hamburgo	por
veo	hamburgo
con	veo
mucho	con
dolor	mucho
las	dolor
nuevas	las
desgracias	nuevas
que	desgracias
han	que
sobrevenido	han
a	sobrevenido
esa	a
casa	esa
quiera	casa
dios	quiera
que	dios
sean	que
las	sean
últimas	las
y	últimas
que	y
en	que
adelante	en
no	adelante
haya	no
novedad	haya
extraño	novedad
mucho	extraño
no	mucho
hayas	no
recibido	hayas
mis	recibido
cartas	mis
que	cartas
te	que
he	te
escrito	he
en	escrito
19	en
de	19
agto	de
28	agosto
de	28
octubre	de
9	octubre
de	9
febrero	de
y	febrero
31	y
de	31
marzo	de
en	marzo
las	en
dos	las
ultimas	dos
te	últimas
di	te
orden	di
pa	orden
despedir	para
sin	despedir
dilacion	sin
al	dilación
infiel	al
mancebo	infiel
y	mancebo
siento	y
no	siento
las	no
hubieses	las
recibido	hubieses
pa	recibido
su	para
breve	su
execucion	breve
pues	ejecución
segun	pues
la	según
relacion	la
que	relación
me	que
haces	me
hems	haces
tenido	hemos
largo	tenido
tiempo	largo
un	tiempo
ladron	un
domestico	ladrón
en	doméstico
un	en
sujeto	un
a	sujeto
quien	a
he	quien
llenado	he
de	llenado
muchos	de
beneficios	muchos
grande	beneficios
ingratitud	¡grande
doi	ingratitud
muchas	doy
gracias	muchas
a	gracias
nro	a
buen	nuestro
amigo	buen
dn	amigo
pedro	don
de	pedro
haberlo	de
despedido	haberlo
y	despedido
qualquiera	y
cosa	cualquiera
que	cosa
te	que
ocurra	te
acudirás	ocurra
a	acudirás
dicho	a
nro	dicho
amigo	nuestro
pa	amigo
que	para
te	que
dé	te
los	dé
consejos	los
mas	consejos
adequados	más
portate	adecuados
en	pórtate
lo	en
demas	lo
con	demás
toda	con
prudencia	toda
y	prudencia
juicio	y
y	juicio
no	y
tendras	no
que	tendrás
huir	que
de	huir
nadie	de
esas	nadie
ausencias	esas
son	ausencias
mui	son
perniciosas	muy
a	perniciosas
la	a
casa	la
que	casa
no	que
debes	no
abandonar	debes
por	abandonar
ningun	por
asunto	ningún
quanto	asunto
daño	¡cuánto
no	daño
se	no
le	se
habrá	le
seguido	habrá
mientras	seguido
has	mientras
estado	has
en	estado
el	en
lugar	el
de	lugar
tu	de
muger	tu
espero	mujer
que	espero
en	que
lo	en
sucesibo	lo
cuidarás	sucesivo
de	cuidarás
la	de
casa	la
como	casa
cosa	como
propia	cosa
pa	propia
que	para
podams	que
vivir	podamos
aqui	vivir
con	aquí
sosiego	con
dime	sosiego
si	dime
has	si
vendido	has
mi	vendido
mula	mi
y	mula
lo	y
que	lo
te	que
han	te
dado	han
pr	dado
ella	por
avisame	ella
tambien	avísame
en	también
que	en
estado	qué
se	estado
hallan	se
mis	hallan
vales	mis
reales	vales
si	reales
se	si
han	se
renovado	han
y	renovado
si	y
has	si
pagado	has
los	pagado
intereses	los
por	intereses
ellos	por
si	ellos
esto	si
no	esto
se	no
ha	se
verificado	ha
pregunta	verificado
al	pregunta
sr	al
dn	señor
pedro	don
lo	pedro
que	lo
conviene	que
hacer	conviene
el	hacer
sabrá	él
si	sabrá
el	si
gobierno	el
ha	gobierno
dispuesto	ha
algo	dispuesto
sobre	algo
ellos	sobre
dhos	ellos
mis	dichos
vales	mis
te	vales
dejé	te
en	dejé
el	en
cajon	el
de	cajon
la	de
mesa	la
y	mesa
son	y
15	son
de	15
600	de
pesosa	600
palme	pesosa
dirás	palme
que	dirás
su	que
madre	su
se	madre
halla	se
enteramte	halla
restablecida	enteramente
de	restablecida
su	de
ulta	su
enfermedad	última
que	enfermedad
sale	que
de	sale
casa	de
y	casa
va	y
a	va
misas	a
por	misas
hahora	por
le	ahora
envia	le
solamte	envía
memorias	solamente
le	memorias
hablé	le
hayer	hablé
y	ayer
me	y
dijo	me
que	dijo
le	que
escribiria	le
otra	escribiría
vez	otra
me	vez
ha	me
entregado	ha
varias	entregado
cosas	varias
pr	cosas
cuenta	por
de	cuenta
dho	de
su	dicho
hijo	su
cuio	hijo
impte	cuyo
avisaré	importe
en	avisaré
mi	en
prima	mi
pa	primera
que	para
se	que
lo	se
abones	lo
en	abones
su	en
cuenta	su
daras	cuenta
muchas	darás
mems	muchas
al	memorias
sr	al
dn	señor
juan	don
ant	juan
mantilla	antonio
dn	mantilla
pedro	don
gutierrez	pedro
dn	gutiérrez
franco	don
de	francisco
yrureta	de
dn	irureta
franco	don
vazquez	francisco
dn	vázquez
franco	don
calonge	francisco
y	calonge
da	y
sebastiana	doña
dn	sebastiana
santiago	don
y	santiago
dn	y
anacleto	don
torre	anacleto
al	torre
pe	al
fr	padre
joachin	fray
a	joaquín
los	a
rdos	los
p	recibidos
capuchinos	padre
a	capuchinos
da	a
faustina	doña
al	faustina
sr	al
yseli	señor
y	yseli
sra	y
narcisa	señora
a	narcisa
la	a
sra	la
celedonia	señora
y	celedonia
su	y
pariente	su
a	pariente
partos	a
y	partos
su	y
muger	su
al	mujer
pe	al
procurador	padre
de	procurador
san	de
benito	san
a	benito
da	a
christina	doña
panes	cristina
a	panes
da	a
maria	doña
calonge	maría
al	calonge
sr	al
berceros	señor
a	berceros
la	a
sra	la
teresa	señora
de	teresa
renedo	de
ea	renedo
ea	etc
y	etc
cuidado	y
que	cuidado
no	que
olvides	no
mis	olvides
consejos	mis
portate	consejos
con	pórtate
juicio	con
y	juicio
prudencia	y
sigue	prudencia
en	sigue
el	en
sto	el
temor	santo
de	temor
dios	de
cuida	dios
bien	cuida
de	bien
la	de
casa	la
no	casa
la	no
abandones	la
por	abandones
ningun	por
titulo	ningún
mientras	título
está	mientras
a	está
tu	a
cargo	tu
pues	cargo
mucha	pues
pesadumbre	mucha
tube	pesadumbre
quando	tuve
supe	cuando
te	supe
habian	te
preso	habían
sin	preso
saber	sin
el	saber
motibo	el
no	motivo
parles	no
mucho	parles
que	mucho
con	que
esto	con
nada	esto
remedias	nada
si	remedias
te	si
ocurre	te
alga	ocurre
dificultad	alguna
acude	dificultad
a	acude
pedir	a
consejo	pedir
a	consejo
nro	a
amigo	nuestro
dn	amigo
pedro	don
y	pedro
en	y
su	en
ausencia	su
a	ausencia
quien	a
te	quien
lo	te
pueda	lo
dar	pueda
pues	dar
muchos	pues
buenos	muchos
amigos	buenos
teneis	amigos
en	tenéis
esa	en
que	ésa
te	que
darán	te
los	darán
mejores	los
consejos	mejores
la	consejos
adjunta	la
dirijiras	adjunta
a	dirigirás
dn	a
ant	don
hesse	antonio
que	hesse
es	que
de	es
su	de
muger	su
quien	mujer
me	quien
lo	me
ha	lo
prometido	ha
de	prometido
hacerme	de
esta	hacerme
tarde	esta
una	tarde
visita	una
con	visita
su	con
hermana	su
teresa	hermana
darás	teresadarás
mem	memorias
a	a
tu	tu
muger	mujer
y	y
tu	tú
la	la
recibirás	recibirás
a	a
medida	medida
de	de
tu	tu
deseo	deseo
de	de
este	este
tu	tu
afto	afecto
amofranco	amigofrancisco
knechtel	knechtel
sr	señor
dn	don
franco	francisco
r	ramón
larioshe	larioshe
recivido	recibido
la	la
de	de
u	usted
fha	fecha
29	29
del	del
pasado	pasado
y	y
en	en
contestacion	contestación
devo	debo
decirle	decirle
qe	que
segun	según
veo	veo
por	por
la	la
de	de
u	usted
no	no
estamos	estamos
tan	tan
mal	mal
pues	pues
cuando	cuando
no	no
han	han
negado	negado
sino	sino
que	que
han	han
dho	dicho
si	si
lo	lo
havian	habían
de	de
depositar	depositar
en	en
tesoreria	tesorería
parece	parece
qe	que
no	no
resta	resta
mas	más
qe	que
el	el
juez	juez
cerciora	cerciora
de	de
qe	que
son	son
bienes	bienes
de	de
un	un
particular	particular
y	y
qe	que
nada	nada
tienen	tienen
que	que
ver	ver
con	con
las	las
rentas	rentas
rs	reales
yo	yo
siento	siento
mucho	mucho
los	los
malos	malos
ratos	ratos
qe	que
u	usted
pasa	pasa
por	por
mi	mí
y	y
mas	más
estando	estando
aun	aún
delicadosobre	delicadosobre
la	la
extinccion	extinción
de	de
rentas	rentas
provinciales	provinciales
qe	que
me	me
dice	dice
se	se
ha	ha
publicado	publicado
en	en
esa	ésa
no	no
cave	cabe
duda	duda
pues	pues
en	en
este	este
reyno	reino
ya	ya
se	se
puso	puso
en	en
practica	práctica
y	y
todo	todo
cortio	cortijo
es	es
libre	libre
en	en
vender	vender
y	y
comprar	comprar
lo	lo
qe	que
me	me
ha	ha
puesto	puesto
en	en
un	un
continuo	continuo
sobresalto	sobresalto
por	por
el	el
rembiado	reenviado
de	de
esas	esas
rentas	rentas
pensando	pensando
en	en
que	qué
vendremos	vendremos
a	a
parar	parar
cuando	cuando
llegue	llegue
el	el
cazo	caso
qe	que
u	usted
vaya	vaya
a	a
cadiz	cádiz
vea	vea
u	usted
si	si
se	se
puede	puede
conseguir	conseguir
el	el
que	que
estas	estas
rentas	rentas
se	se
paguen	paguen
en	en
adelante	adelante
del	del
total	total
de	de
la	la
contribucion	contribución
directa	directa
qe	que
es	es
la	la
unica	única
qe	que
queda	queda
quedando	quedando
spre	siempre
el	el
pago	pago
a	a
dha	dicha
cantidad	cantidad
por	por
cuenta	cuenta
de	de
la	la
villa	villa
pues	pues
a	a
la	la
de	de
la	la
capital	capital
spre	siempre
andaremos	andaremos
mal	mal
espero	espero
qe	que
u	usted
no	no
dejara	dejará
de	de
avisarme	avisarme
a	a
lo	lo
qe	que
vaya	vaya
ocurrdo	ocurriendoínterin
interin	desea
dezea	su
su	alivio
alivio	esta
esta	su
su	segura
sega	servidora
servaora	orihuela
16	16
de	de
dice	diciembre
de	de
1813la	1813la
condesa	condesa
viuda	viuda
de	de
torrepilares	torrepilares
sor	señor
andres	andrés
lopezlima	lópez
y	lima
marzo	y
8	marzo
de	8
1817	de
mi	1817mi
apreciable	apreciable
amigo	amigo
y	y
sormucho	señor
me	mucho
conplaceré	me
que	complaceré
esta	que
halle	ésta
a	halle
u	a
y	usted
a	y
toda	a
su	toda
casa	su
con	casa
toda	con
salud	toda
y	salud
felicidad	y
yo	felicidad
y	yo
mi	y
esposa	mi
estamos	esposa
buenos	estamos
pa	buenos
qe	para
nos	que
mande	nos
que	mande
será	que
nuestro	será
mejór	nuestro
gusto	mejor
y	gusto
con	y
deseos	con
y	deseos
esperanzas	y
casi	esperanzas
ciertas	casi
de	ciertas
pasar	de
á	pasar
esa	a
porque	ésa
por	porque
parte	por
de	parte
ella	de
varias	ella
ocasiones	varias
hemos	ocasiones
hablado	hemos
sobre	hablado
hida	sobre
y	ida
me	y
dijo	me
siempre	dijo
estaba	siempre
pronta	estaba
á	pronta
hacompañarme	a
qe	acompañarme
asi	que
lo	así
espero	lo
porque	espero
aqui	porque
mas	aquí
presto	más
esperamos	presto
se	esperamos
pierdan	se
todos	pierdan
estos	todos
reynos	estos
segun	reinos
ya	según
se	ya
perdieron	se
varios	perdieron
pegados	varios
á	pegados
este	a
por	éste
los	por
mismos	los
hijos	mismos
nuestros	hijos
ó	nuestros
de	o
los	de
europeos	los
que	europeos
somos	que
nosotros	somos
quede	nosotros
otra	quede
cosa	otra
bamos	cosa
a	vamos
bér	a
lo	ver
que	lo
dios	que
hace	dios
y	hace
el	y
tiempohace	el
muchos	tiempohace
meses	muchos
no	meses
he	no
tenido	he
carta	tenido
de	carta
u	de
que	usted
me	que
ha	me
sido	ha
estraño	sido
pero	extraño
por	pero
una	por
de	una
un	de
amigo	un
supe	amigo
qe	supe
aun	que
vms	aún
se	vms
estaban	se
despedazando	estaban
y	despedazando
pleiteando	y
esa	pleiteando
maldita	esa
pza	maldita
de	pieza
tierra	de
lo	tierra
que	lo
me	que
es	me
sumamente	es
sensible	sumamente
pues	sensible
no	pues
equibalen	no
diez	equivalen
fanegas	diez
de	fanegas
tierra	de
a	tierra
las	a
incomodidades	las
y	incomodidades
disgustos	y
del	disgustos
alma	del
y	alma
cuerpo	y
que	cuerpo
juzgo	que
habrá	juzgo
causado	habrá
a	causado
u	a
su	usted
familia	su
y	familia
a	y
las	a
familias	las
de	familias
la	de
parte	la
contraria	parte
y	contraria
a	y
mi	a
mismo	mí
quando	mismo
he	cuando
sabido	he
su	sabido
duracion	su
y	duración
mas	y
quando	más
la	cuando
que	la
cometio	que
el	cometió
hierro	el
de	yerro
vender	de
dos	vender
veces	dos
fue	veces
mi	fue
misma	mi
madre	misma
a	madre
que	a
debo	que
benerár	debo
y	venerar
dispensar	y
quanto	dispensar
haiga	cuanto
hecho	haya
en	hecho
mi	en
daño	mi
pues	daño
bastante	pues
bien	bastante
me	bien
hizo	me
en	hizo
darme	en
el	darme
ver	el
despues	ver
de	después
dios	de
yo	dios
jamás	yo
habia	jamás
pensado	había
mober	pensado
las	mover
cenizas	las
de	cenizas
dha	de
señora	dicha
con	señora
tal	con
tierra	tal
si	tierra
no	si
me	no
pidiera	me
el	pidiera
podér	el
que	poder
mande	que
á	mandé
u	a
en	usted
satisfacion	en
y	satisfacción
confianza	y
pero	confianza
es	pero
cierto	es
que	cierto
temiendo	que
dañar	temiendo
a	dañar
mi	a
sor	mi
a	señor
quien	a
no	quien
pense	no
dañár	pensé
qdo	dañar
mande	cuando
a	mandé
u	a
el	usted
poder	el
le	poder
mande	le
tambien	mandé
una	tambien
carta	una
y	carta
despues	y
otra	después
en	otra
las	en
que	las
le	que
suplico	le
encarecidamente	suplico
trate	encarecidamente
de	trate
no	de
pleiteár	no
qe	pleitear
pr	que
bien	por
bea	bien
como	vea
componer	cómo
ese	componer
asunto	ese
que	asunto
no	que
gusto	no
se	gusto
maltraten	se
las	maltraten
almas	las
y	almas
vecinos	y
honrrados	vecinos
pr	honrados
bagatelas	por
que	bagatelas
no	que
restauran	no
los	restauran
daños	los
y	daños
repase	y
u	repase
mis	usted
cartas	mis
y	cartas
lo	y
vera	lo
y	verá
recibida	y
esta	recibida
ruegole	ésta
y	ruégole
mandole	y
que	mándole
lo	que
deje	lo
en	deje
el	en
estado	el
en	estado
que	en
estubiere	que
hasta	estuviere
avisarme	hasta
ó	avisarme
que	o
yo	que
baya	yo
porque	vaya
quiero	porque
se	quiero
pierda	se
todo	pierda
el	todo
mundo	el
qe	mundo
mi	que
alma	mi
ó	alma
de	o
mi	de
madre	mi
y	madre
no	y
se	no
sienta	se
pr	sienta
esto	por
prqe	esto
mi	porque
fin	mi
es	fin
al	es
contra	al
y	contra
estimaré	y
me	estimaré
de	me
razón	dé
de	razón
las	de
nobedades	las
y	novedades
de	y
su	de
familia	su
y	familia
la	y
mia	la
que	mía
lo	que
deseo	lo
y	deseo
si	y
dios	si
me	dios
dé	me
la	dé
vida	la
pasaré	vida
a	pasaré
esa	a
aunque	ésa
no	aunque
sea	no
sinó	sea
con	sino
4	con
á	4
6	a
mil	6
pesos	mil
llebando	pesos
a	llevando
mi	a
esposa	mi
como	esposa
dios	como
manda	dios
y	manda
yó	y
trate	yo
antes	traté
de	antes
casarnos	de
y	casarnos
despues	y
siempre	después
dice	siempre
si	dice
y	sí
si	y
nó	si
biendo	no
qe	viendo
no	que
quiere	no
ni	quiere
tienen	ni
mas	tienen
ley	más
ninguno	ley
de	ninguno
los	de
qe	los
nacen	que
aqui	nacen
qe	aquí
a	que
nuestra	a
plata	nuestra
qe	plata
buena	que
entrada	buena
me	entrada
hán	me
pegado	han
a	pegado
la	a
mia	la
y	mía
si	y
me	si
descuido	me
más	descuido
toda	más
y	toda
esto	y
por	esto
proceder	por
yo	proceder
de	yo
buena	de
fé	buena
y	fe
llebarme	y
de	llevarme
religion	de
aparente	religión
y	aparente
pegada	y
con	pegada
saliba	con
como	saliva
toda	como
la	toda
qe	la
aqui	que
ella	aquí
por	ella
sus	por
padres	sus
tiene	padres
11	tiene
a	11
12	a
mil	12
pesos	mil
a	pesos
su	a
muerte	su
pero	muerte
sin	pero
ellos	sin
ó	ellos
con	o
ellos	con
pronto	ellos
estoi	pronto
a	estoy
llebarla	a
y	llevarla
á	y
amarla	a
como	amarla
corresponde	como
pero	corresponde
de	pero
nó	de
primero	no
es	primero
mi	es
vida	mi
qe	vida
atender	que
a	atender
desleales	a
y	desleales
criar	y
hijos	criar
aqui	hijos
que	aquí
mañana	que
sean	mañana
los	sean
primeros	los
que	primeros
quiten	que
el	quiten
pescuezo	el
a	pescuezo
sus	a
padres	sus
como	padres
lo	como
han	lo
hecho	han
en	hecho
el	en
dia	el
en	día
todos	en
los	todos
reynos	los
que	reinos
se	que
han	se
lebantado	han
contra	levantado
nosotros	contra
los	nosotros
de	los
alláno	de
quiero	alláno
ser	quiero
mas	ser
molesto	mas
solo	molestosólo
digo	digo
qe	que
ahora	ahora
y	y
siempre	siempre
seré	seré
su	su
más	más
agradecido	agradecido
y	y
s	seguro
s	servidor
q	que
s	su
m	mano
bjuan	besajuan
franco	francisco
gonzalez	gonzález
loysy	loys
novre	y
17	noviembre
sr	17señor
dn	don
luis	luis
de	de
sosa	sosa
mi	mi
dulce	dulce
amigoconsiguiente	amigo
a	consiguiente
su	a
